sentence_id,class_name,evaluated_k_values,top_k_aopc,random_aopc,aopc_improvement
S1,NEG,1 | 2 | 3,0.047354539235432945,-0.0016515950361887615,0.049006134271621704
S1,POS,1 | 2 | 3,0.06118494272232056,0.004494516054789226,0.05669042666753133
S2,NEG,1 | 2 | 3,0.07804361979166667,0.020857292413711547,0.057186327377955114
S2,POS,1 | 2 | 3,0.08568751811981201,0.020523762702941897,0.06516375541687013
S3,NEG,1 | 2 | 3,0.015198191006978353,0.00443271001180013,0.010765480995178224
S3,POS,1 | 2 | 3,0.02359894911448161,0.004534115393956502,0.019064833720525105
S4,NEG,1 | 2 | 3,0.020466844240824383,0.009812970956166586,0.010653873284657797
S4,POS,1 | 2 | 3,0.02441960573196411,0.006658585866292318,0.01776101986567179
S5,NEG,1 | 2 | 3,0.07582324743270874,0.01694074869155884,0.058882498741149904
S5,POS,1 | 2 | 3,0.08474512894948323,0.03809738159179687,0.04664774735768636
S6,NEG,1 | 2 | 3,0.02007546027501424,0.010489443937937418,0.009586016337076822
S6,POS,1 | 2 | 3,0.03486597537994385,0.010251530011494954,0.024614445368448895
S7,NEG,1 | 2 | 3,0.019557476043701172,0.0035780688126881917,0.01597940723101298
S7,POS,1 | 2 | 3,0.020515282948811848,0.0033913413683573403,0.017123941580454508
S8,NEG,1 | 2 | 3,0.02391497294108073,0.014433886607487997,0.009481086333592733
S8,POS,1 | 2 | 3,0.05386964480082194,0.015427420536677042,0.0384422242641449
S9,NEG,1 | 2 | 3,0.0886650284131368,0.02359363238016764,0.06507139603296916
S9,POS,1 | 2 | 3,0.08342788616816203,0.011206199725468954,0.07222168644269307
S10,NEG,1 | 2 | 3,0.022347529729207356,0.003920108079910278,0.018427421649297077
S10,POS,1 | 2 | 3,0.02748781442642212,0.005951929092407227,0.021535885334014893
D01,NEG,1 | 2 | 3,0.04175372918446859,0.005909782648086548,0.03584394653638204
D01,POS,1 | 2 | 3,0.05486081043879191,0.006007774670918782,0.04885303576787312
D02,NEG,1 | 2 | 3,0.03943719466527303,0.006645474831263224,0.03279171983400981
D02,POS,1 | 2 | 3,0.04285422960917155,0.009209875265757244,0.033644354343414305
D03,NEG,1 | 2 | 3,0.011474748452504476,0.0014298121134440108,0.010044936339060465
D03,POS,1 | 2 | 3,0.018678923447926838,0.004247842232386271,0.01443108121554057
D04,NEG,1 | 2 | 3,0.023532668749491375,-0.0026901324590047205,0.026222801208496096
D04,POS,1 | 2 | 3,0.030103524525960285,-0.004163579146067302,0.034267103672027587
D05,NEG,1 | 2 | 3,0.06932626167933147,0.008896082639694214,0.060430179039637245
D05,POS,1 | 2 | 3,0.07173041502634685,0.012720672289530437,0.05900974273681641
D06,NEG,1 | 2 | 3,0.014176766077677408,0.013655346632003783,0.0005214194456736251
D06,POS,1 | 2 | 3,0.04014392693837484,0.016403132677078245,0.02374079426129659
D07,NEG,1 | 2 | 3,0.012547492980957031,-0.0019168396790822347,0.014464332660039264
D07,POS,1 | 2 | 3,0.02271139621734619,-0.0030965725580851234,0.025807968775431317
D08,NEG,1 | 2 | 3,0.04936138788859049,0.011494014660517374,0.03786737322807312
D08,POS,1 | 2 | 3,0.06809033950169881,0.025271904468536378,0.04281843503316244
D09,NEG,1 | 2 | 3,0.04286887248357137,0.012555972735087078,0.030312899748484296
D09,POS,1 | 2 | 3,0.028711517651875813,0.007795013984044394,0.02091650366783142
D10,NEG,1 | 2 | 3,0.004558364550272624,0.002582780520121256,0.001975584030151368
D10,POS,1 | 2 | 3,0.015312671661376953,-0.00010245243708292626,0.015415124098459881
