sentence_id,compared_feature_count,maximum_absolute_difference,mean_absolute_difference
S1,16,7.636845111846924e-08,3.230525180697441e-08
S2,13,7.444032235071063e-08,3.706484746474486e-08
S3,16,0.023062735369118542,0.002956127629052687
S4,13,1.1920928955078125e-07,4.764073170148409e-08
S5,15,1.9371509552001953e-07,5.622083942095439e-08
S6,13,1.4156103134155273e-07,3.8488696400935836e-08
S7,14,1.4156103134155273e-07,3.944816333906991e-08
S8,16,7.264316082000732e-08,2.1507730707526207e-08
S9,16,1.1175870895385742e-07,4.250250640325248e-08
S10,15,3.287568688392639e-07,8.065253496170043e-08
